AssetID	AssetType	Type	Id	Depth	Name	DependencyType
1	Default Subscribe	EmailGroup	4	minimal	Testing Area	NA
1	Default Subscribe	EmailGroup	9	minimal	HP Global	NA
1	Default Subscribe	EmailGroup	13	minimal	NA	NA
1	Default Subscribe	EmailGroup	20	minimal	NA	NA
1	Default Subscribe	EmailGroup	21	minimal	NA	NA
1	Default Subscribe	EmailGroup	22	minimal	NA	NA
1	Default Subscribe	EmailGroup	25	minimal	NA	NA
1	Default Subscribe	EmailGroup	27	minimal	NA	NA
1	Default Subscribe	EmailGroup	29	minimal	NA	NA
2	Default Subscribe	EmailGroup	28	minimal	HP Sales	NA
3	Default Unsubscribe	EmailGroup	4	minimal	Testing Area	NA
3	Default Unsubscribe	EmailGroup	9	minimal	HP Global	NA
3	Default Unsubscribe	EmailGroup	13	minimal	NA	NA
3	Default Unsubscribe	EmailGroup	20	minimal	NA	NA
3	Default Unsubscribe	EmailGroup	21	minimal	NA	NA
3	Default Unsubscribe	EmailGroup	22	minimal	NA	NA
3	Default Unsubscribe	EmailGroup	25	minimal	NA	NA
3	Default Unsubscribe	EmailGroup	27	minimal	NA	NA
3	Default Unsubscribe	EmailGroup	28	minimal	HP Sales	NA
5	Default Form Submit	Form	2497	minimal	US-FY21-PRINT16494-134_Search Pan Print NA US Q421 Paid Search	NA
7	Default Registration	NA	NA	NA	NA	NA
8	Default Redirect to Website	NA	NA	NA	NA	NA
12	SYSTEM - User Access Page	NA	NA	NA	NA	NA
13	SYSTEM - Landing Page Template	NA	NA	NA	NA	NA
15	SYSTEM - Naming Convention Tool	NA	NA	NA	NA	NA
17	[Backup] - SYSTEM - Unsubscribe Page	NA	NA	NA	NA	NA
18	[Backup] - SYSTEM - Unsubscribe TY Page	NA	NA	NA	NA	NA
21	SYSTEM - Double OptIn Email Confirmation Page	ContactFilter	100271	minimal	Filter Criteria 1	NA
24	US Print - Hand-Raiser Confirmation	NA	NA	NA	NA	NA
26	SYSTEM - Landing Page Code Generator	NA	NA	NA	NA	NA
32	[TEST]SYSTEM - Landing Page Code Generator	NA	NA	NA	NA	NA
33	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700	NA	NA	NA	NA	NA
35	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-computerbeveiligin	NA	NA	NA	NA	NA
36	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-desk-productivity-booster	NA	NA	NA	NA	NA
37	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-hp-services-nl	NA	NA	NA	NA	NA
38	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-ootf-individuen-nl	NA	NA	NA	NA	NA
39	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-ootf-meeting-rooms-nl	NA	NA	NA	NA	NA
40	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-ootf-mobile-print-solutions-nl	NA	NA	NA	NA	NA
42	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-ootf-persoonlijk-nl	NA	NA	NA	NA	NA
43	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-ootf-printbeveiliging-nl	NA	NA	NA	NA	NA
50	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-ootf-computerbeveiligin-fr	NA	NA	NA	NA	NA
51	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-ootf-3Dprinting-fr	NA	NA	NA	NA	NA
52	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-ootf-3Dprinting-en	Email	584	minimal	EM-other_BE_PRINT_BE-Q320-PRINT6678-1_T2_Awareness-5811	NA
52	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-ootf-3Dprinting-en	Email	6187	minimal	EM_nurture_NEHQ-FY21-PRINT16503-8_T3___Awareness_apollo-send1-1539-en-be	NA
54	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-ootf-home-en	NA	NA	NA	NA	NA
55	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-ootf-desk-productivity-booster-fr	NA	NA	NA	NA	NA
56	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-ootf-desk-productivity-booster-en	NA	NA	NA	NA	NA
57	LP_REG_BE_PS_BE-Q220-PS6635-10_T1_Awareness_Article-5700-ootf-hp-services-fr	NA	NA	NA	NA	NA
